laureate,laureateName,prize,prizeLabel,awardYear,birthCountry,birthCountryLabel,inst,instLabel,instCountry,instCountryLabel,startYear,endYear
http://www.wikidata.org/entity/Q57066,James Franck,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1925,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q78481,Richard Adolf Zsigmondy,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1925,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q65989,Wolfgang Pauli,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1945,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,1921,1922
http://www.wikidata.org/entity/Q58978,Max Born,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1954,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,1921,1933
http://www.wikidata.org/entity/Q57125,Walther Nernst,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1920,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q155790,Eugene Wigner,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1963,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,1927,1928
http://www.wikidata.org/entity/Q38049,Herta Müller,http://www.wikidata.org/entity/Q37922,Nobel Prize in Literature,2009,http://www.wikidata.org/entity/Q2685298,Romanian People's Republic,http://www.wikidata.org/entity/Q153006,Freie Universität Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q38049,Herta Müller,http://www.wikidata.org/entity/Q37922,Nobel Prize in Literature,2009,http://www.wikidata.org/entity/Q218,Romania,http://www.wikidata.org/entity/Q153006,Freie Universität Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q71022,Ernst Ruska,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1986,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153006,Freie Universität Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q60066,Gerhard Ertl,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,2007,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153006,Freie Universität Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57065,Otto Hahn,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1944,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153006,Freie Universität Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q80095,Kenzaburō Ōe,http://www.wikidata.org/entity/Q37922,Nobel Prize in Literature,1994,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q153006,Freie Universität Berlin,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q5327,Adolf Butenandt,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1939,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153978,University of Tübingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q43917,Eduard Buchner,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1907,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153978,University of Tübingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q77086,Hartmut Michel,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1988,http://www.wikidata.org/entity/Q159631,Kingdom of Württemberg,http://www.wikidata.org/entity/Q153978,University of Tübingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q77086,Hartmut Michel,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1988,http://www.wikidata.org/entity/Q12548,Holy Roman Empire,http://www.wikidata.org/entity/Q153978,University of Tübingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q155794,Hans Bethe,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1967,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q153978,University of Tübingen,http://www.wikidata.org/entity/Q183,Germany,1931,1933
http://www.wikidata.org/entity/Q77086,Hartmut Michel,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1988,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153978,University of Tübingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q77174,Christiane Nüsslein-Volhard,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1995,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153978,University of Tübingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q77171,Georg Wittig,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1979,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153978,University of Tübingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57077,Ferdinand Braun,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1909,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153978,University of Tübingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q48956,Hermann Staudinger,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1953,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153987,University of Freiburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q1325,Friedrich Hayek,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,1974,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q153987,University of Freiburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q77160,Georges J. F. Köhler,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1984,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153987,University of Freiburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q76610,Heinrich Wieland,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1927,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153987,University of Freiburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q75847,Harald zur Hausen,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,2008,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153987,University of Freiburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q77174,Christiane Nüsslein-Volhard,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1995,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153987,University of Freiburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q77171,Georg Wittig,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1979,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153987,University of Freiburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57568,Hans Spemann,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1935,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q153987,University of Freiburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
